Job Title,Company Name,Post Date,Location,Job Requirements,Job Page Links,Job Responsibilities
Python Flask Developer,RDI,28 days ago,"Dokki, Giza, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Django · Docker · Python · Java · Programming · CSS · HTML · Angular · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/yKPTQsWHWpFr-Python-Flask-Developer-RDI-Giza-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb,"-Design, develop and test new products while maintaining the existing
-Stay up to date with the latest industry trends in software and cloud solutions
-Ensure high code and design quality that fulfills business requirements
-Partner with Machine Learning researchers to improve performance and reliability of advanced algorithms
-Implementation of security and data protection
-Writing reusable, testable, and efficient code
-Design and implementation of low-latency, high-availability, and performant applications
-approved but it will be nice if we added a good documentation skill following some standards
"
Odoo Developer,E-Bakers,7 days ago,"Mohandessin, Giza, Egypt ",Full timePart timeWork from homeEntry Level · 1 - 3 Yrs of Exp · Odoo Development · Odoo ERP · Information Technology (IT) · JavaScript · jQuery · Python · SQL · Computer Science · CSS · HTML,https://wuzzuf.net/jobs/p/zSiWYXhr81J7-Odoo-Developer-E-Bakers-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb,"-As an Odoo developer you will analyze, design and develop applications in an agile team.You will also write automated test cases, do live deployment and present the newly developed products to the customer. Odoo experience is a plus, but your deep knowledge and passion for Python is most important. We appreciate your Bachelor’s or Master’s degree, but your skills and experiences weigh a lot more.Responsibilities:
-Design, Development and testing of Odoo (Open ERP) Modules, projects, products and interfaces (Using Python) .
-Configuration, Installation and maintenance of server and multi-database Odoo/Ubuntu environments.
-Maintain and monitor Odoo server & customize Odoo add - ons .
-Implementing new features. Create& customize reports.
-Create new functional business modules.
-Integrate Odoo with other web applications.
-Setup, maintain & monitor Odoo servers.
-Support of a real usability and testing team. job requirements
"
Junior Data Scientist/ML Engineer,TMentors,in 57 minutes,"Cairo, Egypt ",Full timeEntry Level · 0 - 3 Yrs of Exp · Computer Science · Machine Learning · Data Science · Python · Engineering · ETL · Cloud · Information Technology (IT) · SQL · Statistics,https://wuzzuf.net/jobs/p/WXxCLndRitd2-Junior-Data-ScientistML-Engineer-TMentors-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,"-TMentors is looking for a passionate Data Scientist/ML Engineer with a provable proactive interest in Data Engineering and Machine Learning. Successful applicants will consult and support TMentors' clients on their data strategy and ML solutions.
-You will be on a joint mission to build modern analytics infrastructure. Ensure that critical business metrics are defined, targets are set, and analytical approaches don't rest in discovery but make their way into production. Some of the technologies we leverage in the analysis are Python, Spark, Hadoop, YARN, Kubernetes, GCP, and Azure.
"
Odoo Developer,A1Softech,12 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Python · Odoo · JavaScript · Information Technology (IT) · Computer Science · HTML · XML · jQuery · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/4u5NXlMYYK7H-Odoo-Developer-A1Softech-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,"-Design, Develop and test Odoo modules, projects, products and interfaces (Using Python & JavaScript)
-Maintain & customize Odoo addons
-Create & customize PDF, Excell & Financial Reports reports
-Integrate Odoo with other applications
-Setup, maintain & monitor Odoo servers
-Odoo data base & Moudles migration.
-Manage source control such as “GITLAB
"
Senior Data Scientist,Evolvice GmbH,4 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Data Science · English · data scientist · Python · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/T9WuTpM3Mveq-Senior-Data-Scientist-Evolvice-GmbH-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb,-Nothing
Senior Data Engineer,Evolvice GmbH,4 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 4 - 5 Yrs of Exp · Computer Science · Engineering · Python · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/PlPs6Co8XEpR-Senior-Data-Engineer-Evolvice-GmbH-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb,-Nothing
DevOps Engineer / Linux Adminstrator,IT Systems Corporation,7 days ago,"6th of October, Giza, Egypt ",Full timeEntry Level · 1 - 4 Yrs of Exp · Computer Engineering · Computer Science · Linux · Information Technology (IT) · DevOps · Python · Apache · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/vwgPPDSMLrA3-DevOps-Engineer-Linux-Adminstrator-IT-Systems-Corporation-Giza-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb,"-Documentation: Writes specifications and documentation for the server-side features.
-Systems analysis: Analyzes the technology currently being used and develops plans and processes for improvement and expansion. The DevOps engineer provides support for urgent analytic needs.
-Development: Develops, codes, builds, installs, configures, and maintains IT solutions.
-Project planning: Participates in project planning meetings to share their knowledge of system options, risk, impact, and costs vs. benefits. In addition, DevOps engineers communicate operational requirements and development forecasts.
-Deployment: Uses configuration management software to automatically deploy updates and fixes into the production environment.
-Maintenance and troubleshooting: Performs routine application maintenance to ensure the production environment runs smoothly. Develops maintenance requirements and procedures.
-Performance management: Recommends performance enhancements by performing gap analysis, identifying alternative solutions, and assisting with modifications.
-Management: Depending on the size of the organization, the DevOps engineer may also be responsible for managing a team of DevOps engineers.
"
Data Scientist,eMushrif,6 days ago,"Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Data Science · Python · Software · Analyst/Research · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/L7JBQ94VyvqE-Data-Scientist-eMushrif-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb,"-Develop and maintain a route optimisation platform which can be used in to a business context.
-Plan and execute the development of computer vision Machine Learning/Deep Learning models that will be used in an on-edge AI context.
-Manage a team of data scientists.
"
Software Test Automation Engineer,AFKAR Technology,6 days ago,"Smart Village, Giza, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Automation · Java · RPA · C# · Software Testing · Selenium · Testing · Programming · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/lkFMcCPgoSTA-Software-Test-Automation-Engineer-AFKAR-Technology-Giza-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb,"-Participate in designing/developing test automation frameworks for cross-platform projects [ Web –Mobile Desktop ].
"
Senior Full Stack Developer,Transport for Cairo,4 hours ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · NodeJS · AWS · Agile · MongoDB · JavaScript · Linux · Python · Software Development · React Native · React.js,https://wuzzuf.net/jobs/p/6m8FOfHtES0y-Senior-Full-Stack-Developer-Transport-for-Cairo-Cairo-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb,"-Build and architect end-to-end, ensuring that it is secure, fast, and reliable for our customers.
-Work in an agile team and continuously refine our own processes for maximum efficiency and fun.
-Maintain and enhance performance for developed services.
-Develop and architect new system components following the microservice approach.
-Identify valuable data sources and automate collection processes and analysis processes.
-Help yourself and others maintain and improve their quality of work through code reviews.
"
NodeJS Backend Developer,Rytalo,5 days ago,"Obour City, Cairo, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Engineering · Computer Science · Information Technology (IT) · Software Development · Microservices · NoSQL · Nodejs · javaScript · MySQL · Agile,https://wuzzuf.net/jobs/p/Q3eh3zGSAM0w-NodeJS-Backend-Developer-Rytalo-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb,"-Apply problem solving techniques and SW design concepts.
-Take part in software design and architectural development activities.
-Conduct software development, unit test, implement and maintain application software.
-Transforming requirements into solutions.
-Ensure the best possible performance, quality, and responsiveness of the applications.
-Identify bottlenecks and bugs, and advise solutions to these problems.
-Ensures and maintains code quality.
-Implementing automated testing platforms and unit tests.
-Support formal testing and resolve test defects.
-Prepare and produce releases of software components.
"
Big Data Engineer,Silicon Egypt,6 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · Big Data · AWS · Cloud · Engineering · Python · JavaScript · Machine Learning · Information Technology (IT) · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/0jqNf93X8pdg-Big-Data-Engineer-Silicon-Egypt-Cairo-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb,"-Collect and process raw data at scale for a variety of projects and initiatives.
-Design and develop data applications using selected tools and frameworks as required
-Read, extract, transform, stage, and load data to selected tools and frameworks as required and requested.
-Perform tasks such as writing scripts, calling APIs, write SQL queries, etc.
-Process unstructured data into a form suitable for analysis.
-Analyze processed data.
-Monitoring data performance and modifying infrastructure as needed.
-Define data retention policies.
"
Computer Science Instructor,iSchool,6 days ago,"New Cairo, Cairo, Egypt ",Full timeWork from homeEntry Level · 0 - 6 Yrs of Exp · Computer Science · Instructor · Training · Teaching · Science · Computer · Programming · Python · Robotics · Software,https://wuzzuf.net/jobs/p/iZYMgGCrXXLL-Computer-Science-Instructor-iSchool-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb,"-Instruct and Lead Membership sessions, Educational Camps, Workshops, introductory sessions or educational Competitions for students, and Deliver knowledge using STEAM educational approach.
-Asses the assigned students and write a detailed professional feedback for each student following their Assigned sessions with a maximum time limit of 24 hours.
-Model, deliver, and craft rich student-centered learning experiences with a combination of pedagogical skills, Technical skills in any of the specified Areas (Computer Science – Robotics – Graphic design) and a great sense of positive Teaching.
-Manage the classroom with the required session’s standards and Create a positive classroom culture that encourages positive instructor – student relationships, Deep Learning, Collaboration and Consistent Communication.
-Create and implement strategies for weaving STEAM experiences into multi-disciplinary curricula for students with an age that ranges between 6 – 17.
-Answer and support Students questions, constantly evaluate and oversee their overall progress to enhance their knowledge and outputted work quality through session’s feedback, generating periodic Documented Evaluation Reports for updating student’s parents, group related instructors and upper management.
-Support parent’s technical / educational queries about the sessions content, sessions process and student’s progress with the help of the Team Leader Assigned.
"
Senior Quality Control Engineer ( Automation),StatsBomb,6 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Computer Science · Automation · Automation Testing · Testing · Python Scripting · Perl · REST · SQL · Scrum · Cypress,https://wuzzuf.net/jobs/p/Xag0vsOw1Ixu-Senior-Quality-Control-Engineer-Automation-StatsBomb-Cairo-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb,"-Design and develop quality control methodology and processes based on test automation tools.
-Review and analyze requirements, specifications, and technical design documents, providing timely feedback.
-Participate closely in the creation and modification of acceptance criteria.
-Develop and maintain test cases and plans for systems, and follow test plans based on bug reports.
-Develop test scripts and run regressions tests periodically.
-Verify that applications meet business requirements for existing and new features.
-Audit systems and report faults in a clear step-by-step reproducible way.
-Identify and investigate failures, and document in depth root causes, and provide suggestions on how to avoid future failures.
-Examine reports of defects across all information technology systems, check if defects are fixed, document results, and follow up with all interested stakeholders.
-Identify, collect, analyze, and report on quality metrics.
-Conduct load and stress tests periodically, and after each release cycle.
-Review system logs to identify system bugs/errors.
-Mentor other less experienced quality assurance engineers.
"
Embedded Systems Engineer,Ebers,10 days ago,"Alexandria, Egypt ",Full timePart timeFreelance / ProjectExperienced · 3 - 5 Yrs of Exp · Programming · Electrical Engineering · Electrical · Engineering · Computer Engineering · Computer Science · Python · C/C++ · Installation/Maintenance/Repair · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/ppiGoV4YN7ZZ-Embedded-Systems-Engineer-Ebers-Alexandria-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb,"-Develop an embedded chip that uses an android operating system that supports face recognition applications. 
-Will work with a team of Back-end, Game developers, and 2D-3D artists. 
"
Sr.Data Scientist,B.Tech,11 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 5 - 8 Yrs of Exp · Computer Science · Data Science · Information Technology (IT) · Mathematics · Data · MySQL · Science · SQL · Python · Statistics,https://wuzzuf.net/jobs/p/STNm9exAZfyx-SrData-Scientist-B-Tech-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb,"-Work with stakeholders throughout the B.TECH to identify opportunities for leveraging company data to drive
-business solutions.
-Mine and analyze data from B.TECH databases to drive optimization and improvement of technology
-techniques and strategies.
-Assess the effectiveness and accuracy of new data sources and data gathering techniques.
-Develop custom data models and algorithms to apply to data sets.
-Develop processes and tools to monitor and analyze model performance and data accuracy.
-Developing predictive systems and creating efficient algorithms to improve data quality
-Identifying, evaluating, designing, and implementing statistical analyses of gathered data to create analytic
-metrics and tools
-Designing, building, and deploying data analysis systems for large data sets
-Creating algorithms to extract information from large data sets
-Establishing efficient, automated processes for model development, validation, implementation, and large
-scale data analysis
-Developing metrics and prototypes used to drive technology decisions.
-Identifying emergent trends and opportunities for future growth and development
"
Data Science Instructor,EpsilonAI,7 days ago,"Nasr City, Cairo, Egypt ",Full timePart timeEntry Level · 1+ Yrs of Exp · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI) · Software Engineering · OOP · Programming,https://wuzzuf.net/jobs/p/Sor9xate15pf-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb,"-Epsilon AI Institute is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking manner
-The successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and Programming
-Engage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays.
-Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success.
-Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind
"
Senior Odoo Developer,Elite Egypt,11 days ago,"Cairo, Egypt ",Full timeExperienced · 3 - 7 Yrs of Exp · Odoo · Python · Computer Science · Design · Development · Information Technology (IT) · JavaScript · PostgreSQL · Programming · Software Development,https://wuzzuf.net/jobs/p/HeeP4za1dfW0-Senior-Odoo-Developer-Elite-Egypt-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb,"-Good background in developing scalable, high-quality Odoo applications.
-Developing a new Odoo module and customization of existing modules.
-Design and development of application tables, reports, and modules.
-Working with different versions of Odoo
-Integrating Odoo with other business systems.
"
Senior Java Backend Developer,Apptcom,10 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · APIs · backend · Computer Science · Information Technology (IT) · Java · MySQL · Git · Programming · Software Development · Computer Skills,https://wuzzuf.net/jobs/p/RCNFKLcEPO2z-Senior-Java-Backend-Developer-Apptcom-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb,"-Your primary focus will be developing all server-side logic and all the required APIs that can serve all front-end aspects and ensure high performance and responsiveness to requests from the front-end.
-Building reusable code and libraries for future use
-Optimization of the application for maximum speed and scalability
-Implementation of security and data protection
-Design and implementation of data storage solutions
-Collaborate with cross-functional teams to define, design, and ship new features
-Work with outside data sources and APIs
-Unit-test code for robustness, including edge cases, usability, and general reliability
-Work on bug fixing and improving application performance
-Management of hosting environment, including database administration and scaling an application to support load changes
-Data migration, transformation, and scripting
-Continuously discover, evaluate, and implement new technologies to maximize development efficiency
-Automate both testing and deployment processes
"
MEVN Stack Developer,Bee Interactive Ltd.,11 days ago,"Zamalek, Cairo, Egypt ",Full timeExperienced · 4 - 8 Yrs of Exp · MySQL · Computer Science · Angular · CSS · HTML · Information Technology (IT) · JavaScript · MongoDB · PHP · Software Development,https://wuzzuf.net/jobs/p/i4TJb53MErQJ-MEVN-Stack-Developer-Bee-Interactive-Ltd-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb,"-Developing front end website architecture.
-Designing user interactions on web pages.
-Developing back-end website applications.
-Creating servers and databases for functionality.
-Ensuring cross-platform optimization for mobile phones.
-Ensuring responsiveness of applications.
-Working alongside graphic designers for web design features.
-Seeing through a project from conception to finished product.
-Designing and developing APIs.
-Meeting both technical and consumer needs.
-Staying abreast of developments in web applications and programming languages.
"
System Administrator IT,Tartoussieh for Engineering,11 days ago,"Bourj Alarab, Alexandria, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · Computer Engineering · Information Technology (IT) · Engineering · IT · Computer Science · System administrator · MCSA · Python · Security · WAN,https://wuzzuf.net/jobs/p/O2xpgMSDG7Xg-System-Administrator-IT-Tartoussieh-for-Engineering-Alexandria-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb,"-Installing, configuring and maintain servers and networks;
-Overseeing system performance and troubleshooting issues;
-Creating a backup and safeguarding the data if there are any hindrances;
-Performing system upgrades following new releases;
-Maintaining internal documentation through Wiki;
-Performing account setup;
-Sustaining network integrity, server deployment, and security;
"
Software Engineer,Bee Interactive Ltd.,11 days ago,"Zamalek, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Development · Information Technology (IT) · Software Development · Computer Science · CSS3 · HTML5 · JavaScript · Networking · Python · Software Engineering,https://wuzzuf.net/jobs/p/3ilwIfh2LmdI-Software-Engineer-Bee-Interactive-Ltd-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb,"-Grow existing platform and network capabilities to handle massive growth, enabling the generation of insights and data products on all internal and external data via self-serve computing, reporting solutions, and interactive querying
-Visualize, design, and develop creative and innovative software platforms, as we continue to experience dramatic growth in the usage and visibility of our products
-Create scalable software platforms and applications, and efficient networking solutions that are unit tested, code reviewed, and checked regularly for continuous integration
-Examine existing systems, identifying flaws and creating solutions to improve service uptime and time-to-resolve through monitoring and automated remediation
-Plan and execute full software development life cycles (SDLC) for each assigned project, adhering to company standards and expectations
"
DevOps Engineer,Beshara,11 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · DevOps · Software Development · Computer Engineering · Computer Science · Python · Java · Git · javaScript · IT/Software Development,https://wuzzuf.net/jobs/p/gkUEFiY9fJb3-DevOps-Engineer-Beshara-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb,"-Apply the DevOps practices and processes that will speed up and automate aspects of the processes of developing, testing and releasing software, allowing for the continuous delivery of software and software updates.
-Build, test and maintain the infrastructure and tools to allow for the speedy development and release of software
-Building and setting up new development tools and infrastructure
-Understanding the needs of stakeholders and conveying this to developers
-Working on ways to automate and improve development and release processes
-Testing and examining code written by others and analyzing results
-Ensuring that systems are safe and secure against cybersecurity threats
-Identifying technical problems and developing software updates and ‘fixes’
-Working with software developers to ensure that development follows established processes and works as intended
"
Full Stack Developer - Work From Home,Altayar recruitment,17 days ago,"Cairo, Egypt ",Full timeWork from homeExperienced · 3 - 7 Yrs of Exp · React js · Ruby on Rails · Python · Computer Science · Information Technology (IT) · React · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/9NotcewhHAJk-Full-Stack-Developer---Work-From-Home-Altayar-recruitment-Cairo-Egypt?o=34&l=sp&t=sj&a=python|search-v3|hpb,"-Design client-side and server-side architecture
-Convert visual designs into interaction layout using HTML , CSS , SASS and compass
-Rapidly develop next-generation scalable , flexible , and high-performance systems based on latest techniques and tools
-Design , develop integrate , test , deploy maintain and improve software based on Ruby on Rails , python and React JS
-Manage individual project priorities , deadlines , deliverables
-Contribute to the growth of Lucidya through  interviewing , on-boarding , or other recruitment efforts .
"
Senior Front End Developer - React,Trufla,3 days ago,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · JavaScript · Front-End · Software Development · Web Development · Computer Science · JQuery · Angular · HTML · CSS · Python,https://wuzzuf.net/jobs/p/3x4Cj5OLMAGM-Senior-Front-End-Developer---React-Trufla-Cairo-Egypt?o=35&l=sp&t=sj&a=python|search-v3|hpb,"-Are You seeking a project that will drive you to become a better software developer?
-Do You see opportunities in problems?
-Do You always question the status quo?
-Do You like to bring innovative solutions through technology?
-Do You like to deliver world-class quality software?
"
Sr. Software Engineer,mentor consulting group,11 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 5 - 7 Yrs of Exp · Software · MySQL · PHP · Computer Science · ERP · CRM · Information Technology (IT) · Software Engineering · Software Development · Python,https://wuzzuf.net/jobs/p/uq6Evnr3RaFb-Sr-Software-Engineer-mentor-consulting-group-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|hpb,"-Developing and directing software system validation and testing methods.
-Overseeing the development of documentation.
-Analyzing data to effectively coordinate the installation of new systems or the modification of existing systems.
-Managing the software development lifecycle.
-Monitoring system performance.
-Developing and executing project plans.
-Testing new software and fixing bugs.
"
